version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,MinhDuc,system_prompt.md,v0+peb1c8179815b+t6cdb53d5d7b8,peb1c8179815b,t6cdb53d5d7b8,baseline,baseline run with trap prompt,case_accuracy,0.70,0.70,runs/v0_B_base_openai_20260729T102018444825.json
v1,team,artifacts/system_prompt.md,v1+p85b9b9ddf98d+t6cdb53d5d7b8,85b9b9ddf98da7cba7b7dfb19e703d8c7ae9ab27da9a55575f2cfbd30bb9148c,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,improve routing safety and context,explicit rules should fix v0 routing and boundary failures,case_accuracy,0.70,0.95,runs/v1_B_base_openai_20260729T103707406239.json
v2,NguyenXuanPhuong,artifacts/system_prompt.md,v2+p195a30f6573c+t011c271ef0bb,195a30f6573c6adfd6c7a322a626982afe07e94be122fa4f33a749cdc53b63cb,011c271ef0bbad1e19a5d7b660b2ed481b7d72950f1faa8a0798c3bdd8784ee1,fix persistent tool cancellation,explicit source switch should remove the cancelled tool from later turns,case_accuracy,0.95,0.95,runs/v2_B_base_openai_20260729T111304740269.json
v3,NguyenXuanPhuong,artifacts/system_prompt.md + artifacts/tools.yaml,v3+pd7d2cb19db12+t959dd2039928,d7d2cb19db12586daf694a844fef7f8b29e2f8acb6648f26e954fd45453acce8,959dd203992866971f1599935da1bc0eadb85dbc59ae0aefcc872940aa8d26c6,normalize lookup query and resolve parallel routing,news and time words belong in topic/timeframe instead of query,case_accuracy,0.95,1.00,runs/v4_B_base_openai_20260729T112823832198.json
